GW_CSA_AAA,Усиленный патруль безопасности
TEXT_TOOLTIP_FIELD_BASE_MILITARY_PENTASTAR2,Отряд силовиков: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_REBEL1,Отряд армейских солдат-стрелков : 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_REBEL2,Отряд армейских солдат-карабинеров : 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_REBEL3,Отряд оборонительных солдат : 4 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_TERADOC1,Армейский противопехотный отряд: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_TERADOC2,Армейский отряд противотранспортных средств: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_WARLORD1,Армейский противопехотный отряд: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_WARLORD2,Армейский отряд противотранспортных средств: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_ZSINJ1,Отряд стрелков-солдат-хищников: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_REQUUD,Небольшой аванпост Дома Рекуд, обеспечивающий противотранспортные пехотные отделения.
TEXT_TOOLTIP_FIELD_BASE_REQUUD1,Отряд стражи Дома Рекуда: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_SCOUT_EMPIRE1,Имперский отряд десантников: 3 / 9
TEXT_TOOLTIP_FIELD_BASE_SCOUT_TERADOC1,Имперский отряд десантников: 3 / 9
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_CSA1,Отряд полиции безопасности: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_CSA2,Эспо Медик Отряд: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_EMPIRE1,Огневая группа штурмовиков: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_EMPIRE2,Отряд штурмовиков-медиков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_EOTH1,Отряд медиков ручной фаланги: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_ERIADU1,Отряд стрелков специального назначения армии: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_ERIADU2,Отряд армейских солдат-медиков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_PENTASTAR1,Боевая группа армейских солдат: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_PENTASTAR2,Отряд армейских солдат-медиков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_REBEL1,Отряд армейских солдат-стрелков : 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_REBEL2,Отряд оборонительных солдат : 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_REBEL3,Отряд поддержки армейских солдат : 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_REBEL4,Отряд поддержки солдат обороны : 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_TERADOC1,Боевая группа армейских солдат: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_TERADOC2,Отряд армейских солдат-медиков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_WARLORD1,Боевая группа армейских солдат: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_WARLORD2,Отряд армейских солдат-медиков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_ZSINJ1,Боевая группа армейских солдат: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_SUPPORT_ZSINJ2,Отряд медиков-солдат-хищников: 2 / 10
TEXT_TOOLTIP_FIGHTER_SHIELDED_RESEARCH,Завершение этого варианта исследования снабжает TIE-истребители и TIE-перехватчики щитами, но снижает скорость. Можно обратить вспять.
TEXT_TOOLTIP_FIGHTER_UNSHIELDED_RESEARCH,Завершение этого варианта исследования снимает щиты с TIE-истребителей и TIE-перехватчиков, но увеличивает скорость. Можно обратить вспять.
TEXT_TOOLTIP_FIOLLA,Харт-и-Парн Горра-Фиолла из Лорда был талантливым и идеалистичным аудитором Корпоративного сектора. Однажды она с помощью Хана Соло разорвала сеть работорговцев, управляемую чиновниками CSA, что привело к недолгим отношениям со знаменитым кореллианцем. Позже она обнаружила шпионаж Прекса Чилса Меплина и получила звание генерального аудитора. В дополнение к своей карьере в CSA Фиолла вела семейный бизнес по производству лендспидеров на Лоррде, расширяя его до обслуживания и продажи звездолетов.
TEXT_TOOLTIP_FIRE_DRAGON,Танк «Огненный дракон» — это редкая конструкция, специально созданная для хейпанских вооруженных сил, а не гражданская модификация. Доктрина предписывает, что «Огненный Дракон» используется группами, где его тяжелое вооружение способно быстро уничтожить даже самую тяжелую броню противника, прежде чем ответный огонь сможет пробить защиту машины и поразить относительно слабую броню. Отсутствие брони было сознательным выбором конструкции, чтобы обеспечить большую мобильность, чтобы Огненный Дракон мог отступить в безопасное место, когда его защита находится под угрозой разрушения.
TEXT_TOOLTIP_FIRE_DRAGON_COMPANY,Компания: 3 ховертанка «Огненный дракон»
TEXT_TOOLTIP_FIRE_DRAGON_HEALTH,Здоровье: 200
TEXT_TOOLTIP_FIRE_DRAGON_MOVE,Скорость: 1,5 | Терн: 3.0
TEXT_TOOLTIP_FIRE_DRAGON_SHIELD,Щиты: 75 /
TEXT_TOOLTIP_FIRE_DRAGON_WEAP1,1 сверхтяжелая AV-бластерная пушка: 1/2,0 с/320 м
TEXT_TOOLTIP_FIRE_DRAGON_WEAP2,2 легкие бластерные пушки ИИ: 2 / 1,0 с / 320 м
TEXT_TOOLTIP_FIRE_DRAGON_WEAP3,1 легкая протонная ракета: 1/20,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER,Члены Общества Жар-Птицы экипируются приобретенной штурмовиками броней и разнообразным полезным снаряжением через Корвов. Обычно используется в специальных операциях или для защиты VIP-персонала. Несмотря на небольшую численность, их снаряжение и рвение делают их эффективными в борьбе с большинством типов целей, от транспортных средств до другой пехоты.
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY,Компания: 20 штурмовиков Жар-птицы
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP1,6 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP2,5 бластерных снайперских винтовок: 1/3,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP3,3 легких повторяющихся бластера: 5 / 1,0 с / 240 м.
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP4,3 тяжелые ПТ-ракетные установки: 1/9,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP5,3x ионная винтовка: 1/3,0 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP6,1 наручная ракета: 1/10,0 с/240 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP7,3 сотрясающих гранаты: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_COMPANY_WEAP8,3 тепловых гранаты: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_HEALTH,Здоровье: 20
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_LEADER_HEALTH,Здоровье: 23
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_MOVE,Скорость: 1,0
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SHIELD,Щиты: 15 /
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD,Отряд: 5 штурмовиков «Жар-птица»
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP1,2 бластерных карабина: 3/1,25 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP2,1 легкий многократный бластер: 5/1,0 с/240 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP3,1 пусковая установка для тяжелых AV-ракет: 1/9,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP4,1 ионная винтовка: 1/3,0 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP5,1 сотрясающая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD1_WEAP6,1x Термическая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD2_WEAP1,5 бластерных снайперских винтовок: 1/3,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_SQUAD2_WEAP2,1 наручная ракета: 1/10,0 с/240 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP1,1 карабин EE-3: 3/1,25 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP2,1x многозарядный бластер DLT-20A: 5/1,0 с/240 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP3,1x ракетная установка PLX-2M: 1/9,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP4,1x Пушка ДЭМП-2: 1/3,0 с/220 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP5,1 сотрясающая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP6,1x Термическая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP7,1 бластерная винтовка Nightstinger: 1/3,0 с/320 м
TEXT_TOOLTIP_FIREBIRD_STORMTROOPER_WEAP8,1 наручная ракета: 1/10,0 с/240 м
TEXT_TOOLTIP_FLAME_HEALTH,Здоровье: 200
TEXT_TOOLTIP_FLAME_WEAP1,1x Легкая огненная пушка: 10/0,01 с/240 м
TEXT_TOOLTIP_FLARE,Более старая конструкция, разработанная примерно в то же время, что и Байдам, предназначалась для выполнения той же роли, что и экранирующий боевой дракон, до такой степени, что иногда эти два устройства смешивались. Flare Corvette, по сравнению со своим прежним аналогом, представляет собой многоцелевое судно поддержки. Хотя он не способен действовать в качестве специального средства противодействия боевым нагрузкам боеприпасов, он способен эффективно поражать более тяжелые цели с помощью своего широкого спектра вооружений. Ее небольшой размер и приличная скорость позволяют использовать «Вспышку» в качестве гибкого ответа практически на любую брешь в хейпанских формированиях.
TEXT_TOOLTIP_FLARE_HULL,Корпус: 750
TEXT_TOOLTIP_FLARE_MOVE,Скорость: 6,3 | Ускорение: 0,5 | Терн: 0,75
TEXT_TOOLTIP_FLARE_SHIELD,Щиты: 650 /
TEXT_TOOLTIP_FLARE_SQUADRON,Бойцы: 0,5/0
TEXT_TOOLTIP_FLARE_WEAP1,6 средних турболазеров: 1/5,0 с/6,0 км
TEXT_TOOLTIP_FLARE_WEAP2,1 средняя ионная пушка: 1/5,0 с/6,0 км
TEXT_TOOLTIP_FLARE_WEAP3,1 штурмовая ударная ракета: 2/60,0 с/7,0 км
TEXT_TOOLTIP_FLEET_COMMANDO,Fleet Commandos, одна из многих программ имперского спецназа, представляет собой военно-морскую ветвь, параллельную программе коммандос Имперской армии. Рекруты набираются только из лучших кандидатов в офицеры Имперского Флота и проходят даже большую подготовку, чем стандартно. Им также предоставляется доступ к некоторым из наиболее экзотических видов оружия и оборудования, которые есть у Империи, например, к личным щитам. Чрезвычайно опасные враги практически в любой ситуации, эти коммандос превосходно атакуют позиции противника с близкого расстояния, независимо от того, находятся они на суше или в космосе.
